Name,Agent1,Agent2,Total Rounds,Weighted KPR,Weighted KAST,Weighted FKPR,Weighted FDPR,Odds Difference,Average Opposing KPR,Average Opposing KAST,Average Opposing FKPR,Average Opposing FDPR,Recent Kill Average,Actual Kills
marteen,18,12,410,0.7608780487804877,72.72682926829269,0.1736341463414634,0.17726829268292685,4.043120567375887,0.6035217391304348,69.53260869565217,0.09663043478260872,0.10495652173913043,27.0,22
sh1n,16,20,434,0.59,76.0,0.06603686635944701,0.08603686635944702,4.043120567375887,0.6035217391304348,69.53260869565217,0.09663043478260872,0.10495652173913043,20.666666666666668,18
cloud,22,9,164,0.7485365853658537,68.6890243902439,0.07847560975609756,0.05463414634146342,1.1956571023733629,0.6969395017793595,70.72953736654804,0.07729537366548042,0.056548042704626336,38.0,42
purp0,18,12,224,0.7247321428571428,66.82589285714286,0.1582589285714286,0.1464732142857143,1.1956571023733629,0.7250070179704251,70.5837127826529,0.1215358855905042,0.09169017042063615,41.333333333333336,42
hoody,23,6,281,0.6414946619217082,68.04982206405694,0.1004982206405694,0.07583629893238435,1.1956571023733629,0.6971695659541862,69.73908254312092,0.1145233306071926,0.08640554659121889,31.0,28
fit1nho,2,14,165,0.6584848484848486,72.06060606060606,0.0896969696969697,0.08606060606060606,1.1956571023733629,0.6818896299816539,69.80431190734069,0.1108747043610884,0.0908539820074711,27.333333333333332,29
redgar,16,6,261,0.5247509578544062,66.57854406130268,0.05946360153256706,0.09842911877394635,1.1956571023733629,0.6529565438429744,69.35021109170886,0.10188125815079244,0.09167962688711567,28.0,25
brave,16,3,211,0.6990047393364928,72.54976303317535,0.09549763033175357,0.06819905213270143,2.804597701149425,0.7168017621145375,74.20088105726873,0.10637885462555068,0.09358590308370043,29.333333333333332,38
reazy,22,9,149,0.4791275167785235,65.84563758389261,0.04087248322147651,0.050872483221476514,2.804597701149425,0.7168017621145375,74.20088105726873,0.10637885462555068,0.09358590308370043,21.666666666666668,19
qutionerx,18,12,170,0.827294117647059,72.20588235294117,0.22141176470588236,0.1882941176470588,2.804597701149425,0.7168017621145375,74.20088105726873,0.10637885462555068,0.09358590308370043,32.333333333333336,31
elite,6,23,170,0.8367058823529412,75.0,0.05847058823529413,0.07152941176470588,2.804597701149425,0.7168017621145375,74.20088105726873,0.10637885462555068,0.09358590308370043,33.666666666666664,31
paura,13,2,194,0.6271134020618556,66.79896907216495,0.09170103092783505,0.10056701030927837,2.804597701149425,0.7168017621145375,74.20088105726873,0.10637885462555068,0.09358590308370043,24.666666666666668,24
saadhak,13,14,279,0.662831541218638,72.3584229390681,0.11089605734767025,0.12455197132616487,0.6177040110650067,0.6229775280898877,70.13295880149813,0.09192883895131086,0.12550561797752807,23.333333333333332,30
